formula,bg,formation_energy,mp-id
Ba1Ag2Ge1Se4,0.962017,,
Ba2Ag4Hg4O8,2.105166,,
Ag2Ba1Mn1V2O8,3.400922,,
Ba1Ag2S2,1.939344,,
Ba1Ag2Sn1S4,1.366827,,
Ba1Sn1Ag2Se4,0.8625689999999999,,
Ba4Ag8Te8,1.359283999999999,,
Cs4Bi4Ag8S12,1.683501,,
Ag8Bi4O12,1.129547,,
Ag8Bi4O12,1.186643,,
Bi8Ag8Cl8S12,2.501266,,
Ag8Br4N4O12,3.176511,,
Hg7Br6Ag2P8,1.445563,,
Ag8N8C4,2.184969,,
Ag4O6C2,1.957255,,
Ag12C6O18,2.225142,,
Ag4C4O8,3.823517,,
Ag4C4O8,3.865693,,
Ag4Cu2Cs2N8C8,3.606686,,
Ag4Cu2K2N8C8,3.363005,,
Ag4Cu2Rb2N8C8,3.600362,,
Ag4Fe2C10N12O2,2.767057,,
Ag4Ca2V8O24,2.8726,,
Ag4Cd2Ge2S8,1.578331,,
Ge4Cd4Ag8S16,1.824434,,
Ag2Cd1I4,2.886769,,
Ag8Cl4N4O12,3.296601,,
Pd2Ag4Cl8,2.4244,,
Ag8Cr4O16,2.153293,,
Ag4Cr4O14,2.263689,,
Cs4Ag8I12,3.314453,,
Cs4Ti2Ag4S8,2.204082,,
Cs2Ag2Zr1Te4,2.062371,,
Cs6Sb6Ag4S16,1.841762,,
Ag4Cu2N8O24,2.978371,,
Ag4Cu4O6,2.049534,,
Ag2Zn1Zr2F14,0.8572500000000001,,
Ag4I2F2O2H4,2.51476,,
Ag8P4O12F4,2.777439,,
Ag2K1Fe1V2O8,2.867273,,
Ag2Rb1Fe1V2O8,2.907763,,
Ag4Si2Fe2S8,2.655924,,
Ag4In4Ge2S12,1.936037,,
Ag4In4Ge2Se12,1.281025,,
Ge2Ag4K4S8,2.646125,,
Ge2Se8Ag4K4,1.880177,,
Ag8Ge4O12,1.239655,,
Ag4Zn2Ge2O8,1.825308,,
Pb2Ag4Ge2S8,2.282968,,
Ag4Ge2Rb4S8,2.954077,,
Ag4Ge2S6,1.402822,,
Ag6P3O12H3,2.874943,,
Ag4Li2P6O20H4,4.306001,,
Ag2I1O6H3,2.365721,,
Te2Ag4O12H8,2.127276,,
Pd2Ag4S4O12N4H12,3.173364,,
Hf4Ag8S12,1.9750549999999991,,
Hg2I4Ag4S2,2.213423,,
I4Hg1Ag2,2.153297,,
Hg1Ag2I4,1.999088,,
Hg4Ag8O8,1.309485,,
Hg2Ag4S4,1.336486999999999,,
Ag4Hg2Sn2Se8,0.533597,,
Hg4Te6Ag4O24,1.19755,,
Hg7I6Ag2P8,1.305034,,
Ag4Zn2I8,3.174983,,
Ag2Ti1I6O18,3.640956,,
Ag4In4Si2S12,1.996988,,
Ag4In4Si2Se12,1.353568,,
Ag4Nb2Se8K2,2.146425,,
Ag2K1P1S4,2.339999,,
Sb4Ag8S12K4,2.575568,,
K1Ag2Sb1S4,1.610489,,
Ta2Ag4Se8K2,2.454055,,
Ag4Sn2Se8K4,1.645592,,
Ag2La2Ti3O10,3.104871,,
Ag4Sr2Mn2V4O16,2.90992,,
Te8Ag4Mo2O24,2.915628,,
Mo2O8Ag4,3.490969,,
Mo4Ag4O14,2.591079,,
Ag2Mo3Te3O16,3.03254,,
Nb8Ag4O22,3.42029,,
Ag4Nb8O22,3.366296,,
Ag4Nb8O22,3.704959,,
Ag4Nb8O22,3.703001,,
Ag4Ta8O22,4.100783,,
Ag4Te8O22,1.870719,,
Ag4V8O22,1.585619,,
Ag4Sr2V8O24,3.045519,,
Ag4O2,1.121675,,
Ag8Pb4O8,2.102152,,
Pd1Ag2O2,1.145458,,
Ag4O4,0.7162400000000001,,
Ag4O4,0.846208,,
Ag8S4O12,3.5437,,
Ag8Se4O12,3.122742,,
Ag8Si4O12,2.182569,,
Te4Ag8O12,3.109046,,
Ag8Ti4O12,2.545708,,
Ag4O6,1.776609,,
Ag4S2O8,3.031638,,
Ag4Se2O8,1.84802,,
Ag4Zn2Si2O8,2.269231,,
Ag4V2P2O12,2.678355,,
Ag4Sb4O12,1.675186,,
Ag4Te4O12,2.494537,,
Ag8Te8O24,2.601691,,
Pb2Ag4P4O14,4.033985,,
Pd2Ag4P4O14,3.04552,,
Ag4S4O14,4.323809,,
Ag4Te4O14,0.28418,,
W4Ag4O14,2.614495,,
Rb3Ag6Sb3S12,1.640306,,
Ag8S4,2.04097,,
Ag8S4,0.245883,,
Ag8S4,1.96479,,
Ag8S4,2.197685,,
Ag4S2,1.677959,,
Ag8Si4S12,2.470208,,
Te2Ag4S6,2.131638,,
Ag4Si2Zn2S8,2.919359,,
Zn1Sn1Ag2S4,1.217172,,
Ag8Se4,0.180829,,
Ag8Se4,0.08121,,
As2Ag6O8,1.065766,,
As2Ag6S6,1.953894999999999,,
Ag12As4S12,2.530116999999999,,
As2Ag6S8,1.327752,,
Ag6As2Se6,1.433043999999999,,
K3Ag3As2,1.815478999999999,,
Ag12Au4Se8,0.8922460000000001,,
Ag12Au4Te8,0.6295589999999991,,
Ag12B4O12,2.194885,,
Ag12S4Br4,1.005146,,
Ag6S2O12N6C2,3.528516,,
Cd1Ag3Rb1N6C6,3.94695,,
Ag3Fe1C6N6,2.263035,,
Ag3Mn1K1N6C6,3.439095,,
Ag3C6N6K2Na1,3.829615,,
Ag3K2Na1C6N6,3.900177,,
Cs2Ag6S4,1.376493999999999,,
Ag6Cr2O8Cl2,2.181977,,
Sb3Co6Ag9O18,1.48577,,
Ag6Cs2Se4,1.024015,,
Ag12Cu4S8,1.02206,,
Ag12Cu4S8,1.946705,,
Ag6Hf4F28,0.8450500000000001,,
Ag3Na3W2O6F6,3.915562,,
Ag6F16,2.302602,,
Ag6Fe2V4O16,2.487261,,
Ag6Ge6Sn4P12,0.4882789999999999,,
Ag6Ge10P12,0.914798999999999,,
I1S1Ag3,1.518287999999999,,
S1I1Ag3,1.669996,,
In1Ag3P2O8,2.877482,,
In4P6O24Ag6,2.686521,,
Ag12K4S8,2.277803999999999,,
Ag6Se4K2,0.756635,,
K2Ag6Te4,0.886081,,
Ag6Nb4K6S16,2.837173,,
Ta4Ag6K6S16,3.194718,,
Ta4Ag6Se16K6,2.669727,,
Li2Ag6O4,1.841594,,
Ag12S4N4O12,2.461094,,
Ag6Se2N2O6,1.719867,,
Ag6N10O12,3.565115,,
Na2Ag6O4,1.799447,,
Ag12S8Na4,1.897288,,
Ag6Tl4P6O24,1.273395,,
Ag6P2O8,1.743059,,
Ag12Sb4O16,0.966061,,
Ag3V1O4,2.089914,,
Ag12V4O16,2.109137,,
Ag6P22,1.425984,,
Ag6P2S8,2.205975,,
Ag6P2Se8,1.312479999999999,,
Y2Ag6P4S16,2.985139,,
Ag6Sn4Si6P12,0.460209,,
Sn2Ag6P14,1.085343,,
Rb2Ag6S4,1.213491,,
Rb2Ag6Se4,0.841507,,
Rb2Te4Ag6,0.953419,,
Tl4Ag12S8,1.633434999999999,,
Sb2Ag6S6,1.716923,,
Sb4Ag12S12,2.233298999999999,,
Ag8Cd2Ge4S14,1.645217,,
Ag16Ge4O16,1.007318999999999,,
Ag8Hg2Ge4S14,1.404802,,
I4Ag16P4O16,1.837878,,
K4Ag8S6,0.9070299999999992,,
K4Ag8Se6,0.6850710000000001,,
Mn2Sb4Ag8S12,2.143973,,
Ag16S4O8N8,1.981923,,
Te4Ag16S4O16,1.672023,,
Ag8Si2O8,1.806865,,
Ag16Te4O20,0.805698999999999,,
Ag8P4S14,2.794485999999999,,
Rb4Ag8S6,0.954294,,
