formula,bg,formation_energy,mp-id
YbPaO4,0.0,-4.097001039999999,mp-676985
LiLuF4,7.754200000000001,-4.095328204722222,mp-561430
LiThF5,6.5143,-4.094244219345238,mp-1196169
EuF2,0.0,-4.093513655,mp-504731
BaZr2F10,5.756399999999999,-4.093492791923077,mp-505400
Nd3O2F5,3.8537,-4.093184895249999,mp-1101619
Tm2O3,3.6932,-4.090072903500003,mp-1767
Lu4Hf3O12,4.7135,-4.089766204298246,mp-676653
CsSc3F10,5.3828,-4.089457220714284,mp-1213153
CaZrF6,6.653799999999999,-4.088790178125,mp-1025456
K7Th6F31,5.8527000000000005,-4.0881759035397724,mp-676801
La2Th2O7,2.9227,-4.08610926681818,mp-753156
YTh9MgO20,0.5968,-4.084920968225806,mp-1233234
CeOF,0.0,-4.084567068333334,mp-755074
Na3Th6ZnF29,5.1856,-4.082516662948688,mp-1221381
PrPaO4,2.7176,-4.081951017777776,mp-1173356
Ce3Th2O9,0.0,-4.077922799642856,mp-754058
Ca2AlF7,7.1413,-4.076032328999999,mp-29221
Ba3Al2F12,6.7238,-4.072744122794116,mp-3361
Ba5Al3F19,6.9003,-4.071338076481481,mp-1197073
Ce2ThO6,1.9619,-4.068490727777777,mp-1226807
Sr5Al3F19,6.8557999999999995,-4.066676867407407,mp-1208679
Lu6UO12,1.9232,-4.065957644210526,mp-20402
Tb3SOF5,3.587999999999999,-4.06552017075,mp-1217635
Dy3SOF5,3.6130999999999993,-4.062375264249998,mp-1225346
NaCaLaF6,6.3624,-4.061911528148148,mp-1246093
Ho3SOF5,3.6385,-4.058883701249998,mp-1224058
K10Gd22F79,0.0,-4.058271284211712,mp-1213565
CeF4,2.1473,-4.057656529333332,mp-542001
Er2O3,3.9629,-4.057094096999998,mp-679
KSc2F7,5.7069,-4.056580013224997,mp-28439
NaLiLu2F8,7.2608,-4.055417749999999,mp-1209991
LiYF4,7.8341,-4.055315924444444,mp-3700
Yb2O3,0.0,-4.052655219750003,mp-2814
Ce2Th2O7,0.0,-4.051168095909089,mp-759386
Tm5B2(O2F3)3,6.0317,-4.045778714924244,mp-1199949
ScPaO4,2.493500000000001,-4.045086822500001,mp-1219240
Y5Tm11O24,4.1471,-4.044683666250002,mp-759638
BaAlF5,7.2887,-4.044061821071429,mp-4376
SrAlF5,7.1404,-4.043781519285714,mp-1200608
KTmF4,6.8499,-4.04314094676389,mp-1202753
La2Hf2O7,4.2879,-4.042177013636373,mp-12533
Ba2CaMgAl2F14,7.2303,-4.041768984500001,mp-540862
KLaF4,6.1827,-4.04171923579166,mp-1211260
NaLiTm2F8,7.552,-4.039499500809388,mp-1210006
Sm3SOF5,3.504099999999999,-4.03930446275,mp-1219205
Er5B2(O2F3)3,5.9864,-4.037555718333333,mp-1199169
Nd2Th2O7,2.8992,-4.032699879090908,mp-676227
Dy5B2(O2F3)3,5.960999999999999,-4.032430413939393,mp-1203431
Ho5B2(O2F3)3,6.0236,-4.032061431287878,mp-1203766
Nd4O3F7,0.0,-4.030064715,mp-753772
RbCaHfF7,6.5402000000000005,-4.029572006249987,mp-1209253
NaLiEr2F8,7.4719,-4.029100699142719,mp-1209986
UF4,0.0,-4.028010356333334,mp-287
ZrF4,5.3453,-4.027976308499999,mp-1105223
Ho2O3,3.945799999999999,-4.027559444749998,mp-812
Sm4Th3O12,2.4431,-4.024059354210526,mp-1101415
Na3Li4Th6F31,6.308400000000001,-4.02399438795457,mp-558769
NaYbF4,0.0,-4.023917340833333,mp-1220684
NaLiY2F8,7.302799999999999,-4.023631057222222,mp-558597
Li2Th5OF22,1.3857,-4.023247099888889,mp-726654
PaO2,0.0,-4.02262173,mp-2364
NaLiHo2F8,7.5674,-4.022063373726053,mp-1210003
HfO2,4.0165,-4.019811040833332,mp-352
Nd3SOF5,3.427499999999999,-4.0189622465,mp-1220289
YTmO3,4.1556,-4.018697117750002,mp-766256
Ho3ScO6,4.423,-4.018259092499997,mp-13840
Y3SOF5,3.5401,-4.01566512325,mp-1216106
Dy2Hf2O7,3.2281,-4.012424123030301,mp-3611
NpF4,0.0,-4.010959970083332,mp-504787
ThUO4,0.0,-4.010769561666664,mp-760382
Ce4ThO10,1.6261,-4.010598389333333,mp-1226874
Er2Hf2O7,3.1401,-4.01010348590909,mp-557890
CaAlF5,7.1538,-4.010018601428571,mp-8836
Ho2Hf2O7,3.1157,-4.009504141363635,mp-554082
NpF3,0.0,-4.007879197187499,mp-14107
Ce4UO10,0.0,-4.007362578666666,mp-1226869
LuScO3,3.0848,-4.006214216666667,mp-772180
NaErF4,6.854,-4.005070588055555,mp-674459
Dy2O3,3.925499999999999,-4.005045779666665,mp-2345
Sm6Th4O17,1.922699999999999,-4.004702174999999,mp-675749
Gd3SOF5,1.9623,-4.003937893250002,mp-1224717
Sr2PrF6,0.0,-4.003404411790127,mp-1218713
RbLaF4,6.0875,-4.002432104583328,mp-1190838
CaUF6,0.0,-4.002024404374975,mp-1227064
NaYF4,7.2052,-4.001291743333334,mp-1220768
Ce4ThO9,0.0,-4.001051861785712,mp-753456
NaHoF4,6.8743,-4.000236969166667,mp-675798
Dy29Y3O48,4.1221,-4.000052685354165,mp-774100
Gd2Hf2O7,2.8263,-3.999542177272729,mp-1190245
ErLuO3,4.524999999999999,-3.999055284333333,mp-778151
Sm2Hf2O7,3.8433,-3.997781267272727,mp-35249
