formula,bg,formation_energy,mp-id
KScO2,5.438479999999999,-3.093135745562499,mp-8188
BaSi3SnO9,5.07355,-3.092743077142858,mp-18502
Rb2LiGaF6,5.965520000000001,-3.089955832083333,mp-14638
KPF6,9.385860000000001,-3.088211671486607,mp-4608
NaAlPO4F,6.95521,-3.083286763252771,mp-8678
LiAlO2,5.69178,-3.082882981458333,mp-3427
Ba3NaTaO6,4.9074,-3.078000449882968,mp-8961
SrO,4.96379,-3.075623527499999,mp-2472
KYO2,1.29088,-3.075378259312499,mp-8409
Na3Sc2(PO4)3,6.6551800000000005,-3.072143810403324,mp-16956
KTaO3,3.33643,-3.071587857916669,mp-3614
Ba3Nb2ZnO9,3.77035,-3.071309408333333,mp-7249
KRb2GaF6,8.09848,-3.066574973975,mp-13190
NaSr3NbO6,4.481979999999999,-3.059406635125391,mp-6361
KSrPO4,6.67102,-3.0583612888418372,mp-17975
Mg3(PO4)2,6.57326,-3.058181146483516,mp-14396
HfGeO4,5.01297,-3.05788336833334,mp-9755
K3Ta3(BO6)2,3.93215,-3.055646548604166,mp-9870
TiTl2F6,4.762770000000001,-3.054385301111113,mp-10402
Cs2GeF6,7.925890000000001,-3.052358112701146,mp-8217
LaSO,2.00408,-3.05161248,mp-28626
CaTiGeO5,4.10169,-3.049192665416666,mp-17784
Ta2CrO6,0.659929,-3.044736343851851,mp-31629
Rb2GeF6,7.88871,-3.043178331111109,mp-8812
ScVO4,3.30955,-3.041869945833333,mp-19247
Cs2SnF6,6.98405,-3.041488856034478,mp-7297
KNaLaNbO5,4.77513,-3.040243175403257,mp-10942
MgO,5.92558,-3.03830917,mp-1265
RbTaO3,4.66208,-3.032331979466696,mp-3033
K2GeF6,7.72342,-3.031289993277775,mp-14168
BaLa2PtO5,3.22717,-3.030775586666667,mp-8809
CaPbF6,4.882140000000001,-3.030607506249999,mp-20463
BaPbF6,4.159979999999999,-3.030567061249998,mp-19799
Li2CaSiO4,6.37772,-3.030369032083332,mp-7610
Ba2CaWO6,3.756,-3.030209073,mp-19182
Mg3(BO3)2,6.45745,-3.028432701666668,mp-5005
RbBaPO4,6.61325,-3.027209593163264,mp-17832
Nb2O5,3.31657,-3.026667726428572,mp-1595
Al2ZnO4,4.68114,-3.021072628571429,mp-2908
Ba3V2O8,4.30711,-3.018909883076909,mp-19365
Sr3V2O8,4.166060000000001,-3.01776698923077,mp-19386
La2Sn2O7,3.5888400000000003,-3.0172737977272712,mp-4086
SrB4O7,8.55524,-3.016896000138888,mp-5540
Li2GeF6,7.396850000000001,-3.016499819629629,mp-7791
Mg2B2O5,6.5227200000000005,-3.015306194537037,mp-18256
CsTa(BO3)2,4.63802,-3.013451491032184,mp-9309
Y2Sn2O7,3.70717,-3.005540767272727,mp-3370
KLaO2,4.98654,-3.0045629105625,mp-7958
LaGeBO5,5.129779999999999,-3.003877321354167,mp-19957
RbScO2,5.113659999999999,-3.000576440624999,mp-7650
SrLiBO3,5.83175,-2.999272073333333,mp-10814
Ta2ZnO6,4.26478,-2.9919900877407413,mp-17765
SrGa2(SiO4)2,5.20727,-2.987542761153846,mp-14235
Sr2MgWO6,3.7368200000000003,-2.985156883499999,mp-19420
K3Nb3Si2O13,3.31945,-2.9808321434166682,mp-17059
Sr2CaWO6,3.71911,-2.9806652965000002,mp-18742
Ta2FeO6,1.80891,-2.976409758851888,mp-31755
LiSiBO4,7.5361,-2.972327560357141,mp-8874
Li2BeSiO4,6.94738,-2.969780010208333,mp-8070
ZrGeO4,5.090949999999999,-2.964421039166666,mp-8042
BaCl2,6.4008400000000005,-2.9614528075,mp-23199
RbLaO2,4.9182,-2.960912605625,mp-7972
NaF,9.08939,-2.960572454999999,mp-682
Ba2Zn7F18,5.50733,-2.959749393333333,mp-541827
BaLiBO3,6.11955,-2.958859195833334,mp-6499
HfSO,3.67273,-2.958540832500001,mp-7787
NbBO4,3.56713,-2.9548057465277773,mp-8615
K3Sc(PO4)2,6.24475,-2.947518911383502,mp-17035
Sr3ScRhO6,2.7938,-2.944295234090908,mp-18247
CsK2Sc(PO4)2,6.0410699999999995,-2.943092079888634,mp-8564
LiInF4,5.75942,-2.933849961111111,mp-8892
NaAlO2,5.3558900000000005,-2.929171832219827,mp-9212
KF,8.684040000000001,-2.924248431124999,mp-463
LiPF6,9.711969999999999,-2.922815228080357,mp-9143
CsSbF6,6.681430000000001,-2.922387598706896,mp-9636
Rb2SrP2O7,6.44658,-2.915331958690475,mp-14354
TaAgF6,4.87559,-2.913713846541668,mp-29993
