Material,PBEsol,HSE
IrPS,0.0,0.2854
LaPS4,2.0989,4.7110547999
La2P4S13,2.3193,5.264469877
LaPS3,0.0,0.2854
LaP2S7,0.0,0.2854
La2P3S9,1.9725000000000001,4.4012752094
LaPS,0.42810000000000004,1.0639749173
LaPS4,2.0283,4.5373456744
LaPS4,2.0937,4.6982013562
La5P3S3,0.149,0.5491674735000001
LaPS,0.23950000000000002,0.7131358034
LaPS,1.1193,2.4552733570000003
LaPS,0.5792,1.353960983
LaPS4,1.7507000000000001,3.8710899899999998
LaPS4,1.2836,2.8103754646
LaPS4,2.4165,5.5138910354
La2PS,0.0,0.2854
Li2PS3,0.0,0.2854
Li2PS3,0.0,0.2854
Li2PS3,3.0598,7.2472873629
Li2PS3,2.4531,5.6086585223
Li2PS3,2.6428000000000003,6.1072923042
Li3PS4,2.7053000000000003,6.2743107636
Li3PS4,1.8944,4.212639721
Li3PS4,2.8191,6.5818988945
Li3PS4,2.1218,4.7677710341
Li3PS4,2.7512,6.3978323798
Li4P2S7,2.4445,5.5863489734
Li7P3S11,2.4767,5.6700119214
Li7PS6,1.9903,4.4445638446
Li7PS6,1.974,4.404918886
LiPS3,1.7281,3.8180258273
LiPS3,1.3215,2.8936184504
LiPS3,1.8049,3.9990722657
MgPS3,2.6743,6.191300185
MgPS3,2.8144,6.569106377
MgPS3,2.6897,6.2324960166
MgPS3,2.5419,5.8405182083
MgPS3,2.7737,6.4586492082
Mg2P3S9,1.6275,3.5839702094
Mg2P2S7,2.5939,5.9775621959
Mg3P2S8,1.1108,2.437157117
Mg3P2S8,2.375,5.4069984375
Mg3P2S8,2.0636,4.6239840406
Mg3P2S8,2.0537,4.5996424002000005
Mg3P2S8,2.1736,4.8967350026
MgP2S6,0.0,0.2854
MgP2S6,0.4097,1.0292033646
MgPS,0.0,0.2854
MgPS,1.1738,2.5720261373
Mg4P2S,1.3481,2.9523399613
MnPS3,0.0,0.2854
MnPS3,0.0,0.2854
MnPS3,0.0,0.2854
MnPS3,0.4575,1.1197776344
MnPS3,0.0,0.2854
Mn2P3S9,0.7783,1.7481642994
Mn2P2S7,0.7667,1.7248197924
Mn3P2S8,0.0,0.2854
Mn3P2S8,0.0,0.2854
Mn3P2S8,0.6729,1.5377665901
Mn3P2S8,0.6741,1.5401403155
Mn3P2S8,0.0,0.2854
MnP2S6,0.7353000000000001,1.6618628866
MnP2S6,0.7938000000000001,1.7794302693000001
MnPS,0.0,0.2854
MnPS,0.0,0.2854
