formula,bg,formation_energy,mp-id,fidelity,bg_category
Li5Ti4Co3O16,0.3601,-2.417654663035714,mp-769510,1,0.0
Co2O3F,0.0,-1.306400923333332,mp-850970,1,0.0
Sm3BWO9,3.825699999999999,-3.350879025654762,mp-561186,1,5.0
DyCrTeO6,2.7169,-2.542657223148146,mp-1105344,1,4.0
Sr3Cr2S2O5,0.0,-2.328772994999999,mp-1239342,1,0.0
SrEuNbVO6,0.0,-3.093793812500001,mp-1521910,1,0.0
Na3CrH14(C3O8)2,3.597,-1.412147612290948,mp-726543,1,5.0
LiSbWO6,2.3233,-2.111403034259259,mp-17290,1,3.0
Mg2FeBO5,2.085699999999999,-2.67784053574074,mp-1210692,1,3.0
Ca3Mn2(GeO4)3,1.017,-2.584876549293104,mp-744259,1,1.0
Mg14CoSnO16,0.3096,-2.73496367671875,mp-1035116,1,0.0
Li5Co5(CuO6)2,0.0,-1.503100148194445,mp-764915,1,0.0
Li4CoNi3(PO4)4,2.6828000000000003,-2.362365258639456,mp-850408,1,4.0
NaCa2V3(CoO6)2,2.1268,-2.475092731818965,mp-694918,1,3.0
BaVO3,0.0,-2.830250003000001,mp-19150,1,0.0
Fe4OF7,1.9278,-2.418891556249999,mp-763020,1,2.0
ZnCoP2H12O11,2.0092,-1.495038618121692,mp-1199400,1,3.0
Li4Mn5Fe(PO4)6,0.321099999999999,-2.491450573521141,mp-776660,1,0.0
Li4MnV3(PO4)4,2.694099999999999,-2.634225888922706,mp-757477,1,4.0
