formula,bg,formation_energy,mp-id,fidelity,bg_category
Al3FeSn2Dy3,0.0,-0.0291115,,2,3.0
Al3Si2PdEu3,0.0,-0.0269879,,2,3.0
Cl6Te4Ta,0.0,-0.024791,,2,3.0
SiCl6Rb2,3.1126,-0.0127455,,2,3.0
N2NbHf,0.0,-0.0301259,,2,3.0
Ca2AuBi,0.1399,-0.0427197,,2,3.0
Al2MnTa6,0.0,-0.048276,,2,3.0
B2O6ScEu,0.0,-0.0151385,,2,3.0
N2CeTm,0.0,-0.0306399,,2,3.0
GaHo2Pt,0.0,-0.0471893,,2,3.0
Ga2RbHg2,0.0,-0.0380951999999999,,2,3.0
B2Ru2Gd,0.0,-0.0292549,,2,3.0
CuRuNd2,0.0,-0.0345071999999999,,2,3.0
Zn3Pr2,0.0,-0.0257885,,2,3.0
AsZrPr,0.0,-0.032493,,2,3.0
Ga2Rh3Nd,0.0,-0.0304786,,2,3.0
Si2CuNp,0.0,-0.0357177999999999,,2,3.0
Br2Tb2Pb,0.0,-0.0431096999999999,,2,3.0
LiBeAs,0.9276,-0.0095472,,2,3.0
RhSb2,0.0434,-0.0366581,,2,3.0
CuTc2,0.0,-0.0283789,,2,3.0
Sc2CuAs2,0.0,-0.0179542,,2,3.0
GeYAg,0.0,-0.0268671,,2,3.0
V3Rh5,0.0,-0.0281037,,2,3.0
AlSiAc2,0.0,-0.0499157,,2,3.0
O4CeHo,0.0,-0.0231216,,2,3.0
BeSiTb,0.0,-0.0210716,,2,3.0
H3O2Cs,4.4921,-0.0114117,,2,3.0
Al2GaHf,0.0,-0.0240932999999999,,2,3.0
MgKHg2,0.0,-0.0377054,,2,3.0
H4Rh3Er,0.0,-0.0210396,,2,3.0
NaBa3Pt,0.0,-0.0390789,,2,3.0
AgInEu2,0.0,-0.0434598,,2,3.0
O6Sr2RhPr,0.0,-0.0182981,,2,3.0
Mg4In3,0.0,-0.0172601,,2,3.0
Si3Zn6U2,0.0,-0.0289674,,2,3.0
S3MnCs2,0.1421,-0.0216274,,2,3.0
Rh2Sm2Pb,0.0,-0.0472517,,2,3.0
CuBa2Hg,0.0,-0.0408976,,2,3.0
TiVAs,0.0,-0.0187868,,2,3.0
Al2YHg2,0.0,-0.0364465,,2,3.0
Ca2Pb3,0.0,-0.0499282,,2,3.0
Mg2CaTh,0.0,-0.0287902,,2,3.0
Zr5Nd,0.0,-0.0327548999999999,,2,3.0
MgZn2Ho2,0.0,-0.0263543999999999,,2,3.0
AlS4ClBi2,1.7953,-0.0271351,,2,3.0
H4Zr2Pd,0.0,-0.0159436999999999,,2,3.0
O4ErTa,3.9655,-0.0272162,,2,3.0
Dy3Hg2,0.0,-0.0565445,,2,3.0
S3Cu2Hf,0.4904,-0.0213198,,2,3.0
LiP2Cu2Pr,0.0,-0.0170298,,2,3.0
CdSm3,0.0,-0.0411157,,2,3.0
Ga2RuCe,0.0,-0.0287259,,2,3.0
PCaGe,0.0,-0.0138181,,2,3.0
GeBr2Pu2,0.0,-0.0565138,,2,3.0
CoGaEr,0.0,-0.0284739,,2,3.0
CoBr4Tl2,0.0,-0.0349239,,2,3.0
PSc,0.0,-0.0139919,,2,3.0
SnOs2Th2,0.0,-0.0746875,,2,3.0
CHo2Bi,0.0,-0.0473915,,2,3.0
NiCuTm,0.0,-0.0280484,,2,3.0
Co2NiCu,0.0,-0.0164404,,2,3.0
P4Th3,0.1027,-0.0485598999999999,,2,3.0
Fe3Dy,0.0,-0.0255131,,2,3.0
Li4O8CrMn3,0.0,-0.0105876,,2,3.0
O6AsSr2Nd,3.3906,-0.0173442,,2,3.0
F4MgK2,6.5721,-0.0084827,,2,3.0
AsI2Pr2,0.0,-0.037737,,2,3.0
CN2FCe,0.0,-0.0171587,,2,3.0
SnSm2Pt3,0.0,-0.0570508,,2,3.0
GeAu5,0.0,-0.0607592,,2,3.0
S3Se3Bi4,0.9851,-0.0406271,,2,3.0
AsRhPr,0.0,-0.0336751999999999,,2,3.0
P2HoOs2,0.0,-0.0435778,,2,3.0
AlBrTb,0.0,-0.0258307,,2,3.0
ZnInLa2,0.0,-0.0337899,,2,3.0
Si2Rh3La,0.0,-0.0285542,,2,3.0
SiVZr,0.0,-0.0201903,,2,3.0
PrPtBi,0.0,-0.0652596,,2,3.0
CaNiTe2,0.0,-0.0258567,,2,3.0
GePd3U2,0.0,-0.0544234,,2,3.0
Pd2W,0.0,-0.0451332,,2,3.0
Ga2AgCs,0.0,-0.0255726,,2,3.0
AlMn2Mo,0.0,-0.0200166,,2,3.0
Mg8CaZn4,0.0,-0.0081161,,2,3.0
HCo3Rh,0.0,-0.0177251,,2,3.0
Si2Y2In3,0.0,-0.0256359,,2,3.0
O4AgRe,1.8356,-0.0225576,,2,3.0
Br3TeCs,1.3938,-0.0276679,,2,3.0
SAs3In4,0.0,-0.0257526,,2,3.0
