formula,bg,formation_energy,mp-id,fidelity,bg_category
LiBe5,0.0,-0.0039804,,3,3.0
Ge2RuNd,0.0,-0.0299445,,3,3.0
FeCoRh2,0.0,-0.0257545,,3,3.0
CdInLu,0.0,-0.0401726,,3,3.0
P2CuHf,0.0,-0.0254049,,3,3.0
O2FKTe,3.099,-0.014036,,3,3.0
RhSb2Er,0.0,-0.0405059,,3,3.0
BCaGa2Ir2,0.0,-0.0326175,,3,3.0
NiGe2Sn3Ho3,0.0,-0.0349841,,3,3.0
MgCdTb,0.0,-0.0277367,,3,3.0
HMgPt2Au,0.0,-0.043962,,3,3.0
PSHo,0.0739,-0.0247027,,3,3.0
O6FeCuSr2Pb2,0.0,-0.0240823,,3,3.0
GaIr7,0.0,-0.0643406,,3,3.0
SiZnLa,0.0,-0.0229294,,3,3.0
LiHfPb,0.0,-0.0472257,,3,3.0
Be2PdPt2,0.0,-0.0370731,,3,3.0
SiTmPt2,0.0,-0.0519342,,3,3.0
H8Mg2CrPu,0.0,-0.0140596,,3,3.0
MgIn2Ir2,0.0,-0.0431081,,3,3.0
Al9Cu2Sr,0.0,-0.0103582999999999,,3,3.0
ZnBi2Th6,0.0,-0.0832332,,3,3.0
Pd2Ag3Pr,0.0,-0.0342262,,3,3.0
SiScNd,0.0,-0.0232938,,3,3.0
Zr2CdIn,0.0,-0.031655,,3,3.0
ClRb2Sb2,0.0,-0.0258062,,3,3.0
Zn2RuNd,0.0,-0.0266599,,3,3.0
SiGaTh,0.0,-0.0413378,,3,3.0
Se4NbCs3,2.2853,-0.0296534,,3,3.0
LiAs2LuPt2,0.0,-0.0407815999999999,,3,3.0
C2O6SrCd,4.1237,-0.0129885,,3,3.0
B2Sn5Ir6,0.0,-0.0480784999999999,,3,3.0
Na4As2Hg,0.9494,-0.0184302,,3,3.0
MgRh2Tb2,0.0,-0.0340501,,3,3.0
Cl12InSbCs4,1.2822,-0.0192638,,3,3.0
MgInIr,0.0,-0.0368362,,3,3.0
As2Sb3,0.0,-0.0303735,,3,3.0
ZnRuTb,0.0,-0.0320593999999999,,3,3.0
MgTiIr2,0.3302,-0.0417948,,3,3.0
