formula,FE,bg
NiPS3,-1.4048,0.31370000000000003
NiPS,-1.3844,0.0
Pt2PS10,-1.3658000000000001,0.8642000000000001
GePS3,-1.3537000000000001,2.0765
Ga2PS,-1.3151,0.0
OsP2S8,-1.313,0.1203
CuPS3,-1.3036,1.1759
PbP2S7,-1.2964,0.39830000000000004
CrPS,-1.2936,0.3991
Ir2PS10,-1.2648,0.8717
MnPS,-1.2635,0.0
PdPS3,-1.2522,0.0
OsP2S6,-1.2496,0.0
BiPS3,-1.2427,0.5750000000000001
Au2P3S9,-1.2373,0.012400000000000001
In2PS,-1.2165,0.0
Mo2P3S,-1.2117,0.0
ZnP2S6,-1.1914,0.0
BPS3,-1.1814,1.3728
Ag2PS3,-1.1695,1.7989
HgPS3,-1.1457,1.5666
ReP2S8,-1.1426,0.1144
SbP3S9,-1.1352,0.9663
PtPS6,-1.1149,0.06620000000000001
TlPS4,-1.1132,1.0057
Cr2PS,-1.1129,0.0
CdP2S6,-1.0995,0.0
AuPS4,-1.0555,1.1756
Bi5P3S3,-1.0519,0.1119
Sb2PS10,-1.0448,1.3275000000000001
ZnPS,-1.0163,1.3401
GaPS,-0.9857,0.3635
Co2PS,-0.9585,0.0
AgPS3,-0.9116000000000001,1.5381
Sb2PS2,-0.8942,0.8422000000000001
OsP4S12,-0.882,0.29
Tl2P3S9,-0.8427,0.6926
PtPS3,-0.8188000000000001,0.0
PdP4S12,-0.7963,0.0
Tc2P3S,-0.7835000000000001,0.0
InPS,-0.7664000000000001,0.5003000000000001
MoPS,-0.7604000000000001,0.0
CuPS,-0.7392000000000001,0.0
SbPS6,-0.7379,0.5481
CdPS,-0.7234,0.2536
PtP4S12,-0.6769000000000001,0.020900000000000002
TlP2S7,-0.6449,0.0
Sb5P3S3,-0.6384000000000001,0.0
SbPS3,-0.6308,0.0511
IrPS6,-0.6084,0.1676
Fe2PS,-0.6061000000000001,0.0
AuPS3,-0.5888,0.0
IrP4S12,-0.5724,0.0
PbPS,-0.5586,0.3326
TcPS,-0.5223,0.0
SnPS,-0.5199,0.1655
AuP2S7,-0.4912,0.0
Mn2P3S,-0.47190000000000004,0.0
Ru2PS,-0.4441,0.0
Pb4P2S,-0.43710000000000004,0.0
BiPS,-0.3803,0.0
BPS,-0.358,0.9085000000000001
Zn4P2S,-0.2969,0.0
GePS,-0.2873,0.2285
Bi2PS,-0.2863,0.0
HgP2S6,-0.2624,0.0
AuPS,-0.2524,0.2374
BiPS6,-0.2338,0.1066
HgPS,-0.2283,0.9581000000000001
BiP3S9,-0.22410000000000002,0.0
SbPS,-0.20140000000000002,0.4106
OsPS6,-0.199,0.0
Sn4P2S,-0.17830000000000001,0.0
WPS,-0.1433,0.0
Cu8P2S,-0.11610000000000001,0.0
W2P3S,-0.10350000000000001,0.0
Cd4P2S,-0.1013,0.0
SiPS,-0.09770000000000001,0.0
Sb2PS,-0.0025,0.0
Pt4P2S,0.0347,0.0
RePS,0.1469,0.0
TlPS,0.1699,0.0
Ir2PS,0.1965,0.0
Pd2P3S,0.2655,0.0
Tl2PS,0.2721,0.0
Au2PS,0.3915,0.0
Ir2P3S,0.4293,0.0
Re2P3S,0.47090000000000004,0.0
Pt2P3S,0.7003,0.0
Sn2P3S,0.7633000000000001,0.0
Os2P3S,0.8421000000000001,0.0
Si2P3S,0.9417000000000001,0.0
Ge4P2S,0.9441,0.0
Ge2P3S,1.3785,0.0
Hg4P2S,1.4251,0.0
Pb2P3S,1.4719,0.0
Tl5P3S3,2.2791,0.0
B2PS,2.4483,0.0
Au5P3S3,3.0716,0.0
HfP2S6,-5 ,2.3232
ZrP2S6,-5 ,2.0791
