formula,bg_1,fidelity_id_1,bg_2,fidelity_id_2
Bi2Pu,0.0,2,0.0,3
Si3Sb3Tb10,0.0,2,0.0,3
GaNd3,0.0,2,0.0,3
Rh4LuHg,0.0,2,0.0,3
Sc4Fe2Tl5,0.0,2,0.0,3
O2InBi,0.0,2,0.0,3
H3HfIr,0.0,2,0.0,3
CaCu2Sn2,0.0,2,0.0,3
C3N3S3KHg,2.0067,2,2.2728,3
MnIn2Tm6,0.0,2,0.0,3
Ba3Ta2ZnO9,3.348799999999999,0,4.32,6
Ca(CoS2)4,0.0,0,0.0,6
Al3Si2AuNp3,0.0,2,0.0,3
O4K3Ir,0.0,2,0.3116,3
NaPS4Cd,2.7905,2,3.3322,3
Li2DyIn,0.0,0,0.0,6
CdHf6Bi2,0.0,2,0.0,3
Li2B2S5,2.4427,0,2.2439,2
O2CoBa,0.0,2,0.2104,3
LiMnSe2,0.0,0,0.0,2
Ir2Sn2Cl16K6,1.601666,0,2.969648,5
DyIr2,0.0,0,0.0,6
LiO6FSrTa2,2.6156,2,3.1087,3
C2BrSm2,0.0,2,0.0,3
Mg2Au2Tl,0.0,2,0.0,3
O4VSrPr,0.0,2,0.0,3
O6Sr2SbHf,0.0,2,0.0,3
Sb8F48,2.278797,0,5.135398,5
TiCuIn2,0.0,2,0.0,3
Mg2SiPt3,0.0,2,0.0,3
F2Y2Cd,0.0,2,0.0,3
O3MoBa,0.0,2,0.0,3
Hg4Cl2P6,1.105534,0,1.734953,5
Si8Se16,2.23651,0,3.229466,5
MgNi4Y,0.0,2,0.0,3
Mg2SiOs,0.0,2,0.0,3
F6Cs3Pb,0.0,2,0.3102,3
H2SnEr3,0.0,2,0.0,3
Se10MoTa4,0.0,2,0.0,3
Be2As2Ba,0.0,2,0.2518,3
Zn3In4,0.0,2,0.0,3
Al6BaAu,0.0,2,0.0,3
Mg3Si2,0.0,2,0.0,3
Sc3CdIr2,0.0,2,0.0,3
KInTe2,0.9436,2,1.246,3
Li2CaZn2,0.0,2,0.0,3
NaS2V,0.0,2,0.2377,3
SeI3Tl,0.0,2,0.0,3
NiBi3,0.0,2,0.0,3
B2O6CaBa2,4.0964,2,4.72,3
Y3RhIn3Sn2,0.0,2,0.0,3
Na2RbSn2,0.0,2,0.0,3
NTi2Pd,0.0,2,0.0,3
AsPd5Dy,0.0,2,0.0,3
Ca8N4H4,1.617445,0,2.376602,5
Y2Rh2La,0.0,2,0.0,3
O3MnTb,0.0,2,0.0,3
CCoTb,0.0,2,0.0,3
YCd2Pt2,0.0,2,0.0,3
Br2Ho,0.0,2,0.1146,3
ScBi,0.0,2,0.0,3
RhSnHo,0.0,2,0.0,3
Si2ScIr,0.0,2,0.0,3
Li5TiAs3,0.5890999999999991,0,0.5683,2
Pb8O4F8,0.807469,0,1.695945,5
RhIn2Pr,0.0,2,0.0,3
Al3Ni2Zr,0.0,2,0.0,3
NaSnEu2,0.0,2,0.0,3
Cl6KRb2Bi,3.9725,2,4.3603,3
Ru2Sb2Pr,0.0,2,0.0,3
ScRhIn,0.0,2,0.0,3
Tl8Pb,0.0,2,0.0,3
TmSb,0.0,0,0.0,6
LiZn2Au,0.0,2,0.0,3
Ca3NiGa3Sn2,0.0,2,0.0,3
In2NdIr,0.0,2,0.0,3
Zr2TcHg,0.0,2,0.0,3
CdI2,2.0105,2,2.59644,4
H4OF2,7.0619,0,7.0497,2
Zr5Rh3,0.0,2,0.0,3
DyZrSb,0.0,0,0.0,6
O6CrSr2Ta,0.6928,2,1.8889,3
Ag1Sb2F12,0.369231,0,2.81117,5
LiCl6K2Mo,1.1642,2,2.1265,3
ZnRh2Er3,0.0,2,0.0,3
BeCoPt2,0.0,2,0.0,3
MnAsPd,0.0,0,0.0,3
Nb2RuW,0.0,0,0.0,3
Si2PdTm,0.0,2,0.0,3
NbHfRe2,0.0,2,0.0,3
Cs2Sn3(SbS5)2,1.8595,0,2.34,6
O4PSb,3.8929,2,4.3666,3
Hf3Hg,0.0,0,0.0,3
O6Ca2CdW,2.6554,2,3.106,3
Ca2Zn2Sn,0.0,2,0.0,3
LiF3Ag,0.2281,2,0.865,3
NaPEu,0.043,2,0.003,3
B2Ru3Lu,0.0,2,0.0,3
Li2Ag6O4,0.782787,0,1.841594,5
H2Ca3Sn,0.0507,2,0.2853,3
Si2PdPa,0.0,2,0.0,3
Sc2CdAu,0.0,2,0.0,3
Ni2CdPr2,0.0,2,0.0,3
GeZrGd,0.0,2,0.0,3
CaCd3Pt2,0.0,2,0.0,3
MgRh2Pa2,0.0,2,0.0,3
S2AsTl,0.1355,2,0.3757,3
Li2SiS4Pb,2.2642,2,2.619,3
Se2Cs2Pt,0.9009,2,1.3554,3
Ti2FeCu,0.0,0,0.0,2
Al3Si2Tb3Pt,0.0,2,0.0,3
Sc6RhTe2,0.0,2,0.0,3
V4S4O20,1.592036,0,2.740729,5
Rh7Pb,0.0,2,0.0,3
ZnTcLu2,0.0,2,0.0,3
NbRh,0.0,0,0.0,2
MnCo3Ho2,0.0,2,0.0,3
MgSiAu2,0.0,2,0.0,3
F6ZnNp,0.0,2,2.1145,3
Tl(MoSe)3,0.0,0,0.0,6
Ni2GeNd,0.0,2,0.0,3
Zn2YPb,0.0,2,0.0,3
Fe1O8N8C6H12,2.05793,0,2.580876,5
C2ClPr2,0.0,2,0.0,3
Al2Si2Dy,0.0,2,0.0,3
K3Pd3Sb2,0.0,2,0.0,3
Mn8Ge4O16,1.564124,0,2.133118,5
LuHg2Tl,0.0,2,0.0,3
InTbHg2,0.0,2,0.0,3
CuAs2Hg2,0.0,2,0.0,3
Ga5RuPr,0.0,2,0.0,3
GaTc,0.0,0,0.0,2
NiYPt2,0.0,2,0.0,3
O3MnRh,0.0,2,0.0,3
AlGeSe,0.7339,2,1.0296,3
Si2Pr2Hg,0.0,2,0.0,3
Ca4Al6TeO12,3.146499999999999,0,4.26441,4
F6Ti,0.6774,2,1.3692,3
AgBaBi,0.0,2,0.0,3
S4MnCu3,0.0,2,0.0,3
CSbTm2,0.0,2,0.0,3
F7AsPb,4.12,2,4.662,3
Rh2Sr6Y2O12,2.298041,0,4.055655,5
N2GdTm,0.0,2,0.0,3
BeMgPt2,0.0,2,0.0,3
P2ZnSr2,0.7736,2,1.1514,3
LiTcLa3,0.0,2,0.0,3
F4PCs,4.4095,2,4.8009,3
SiSm,0.0,2,0.0,3
HO4SiRbSr,4.0959,2,4.6601,3
LaRe4,0.0,2,0.0,3
CZr3Hg,0.0,2,0.0,3
NCr3Zn,0.0,2,0.0,3
Mn2LaIr3,0.0,2,0.0,3
F6Rb3Nd,6.0446,2,6.6648,3
BRu2Sn2Nd,0.0,2,0.0,3
Mn6As4Sr,0.0,2,0.0,3
O3AgBi,0.0,2,0.0,3
Cl4Br2Rb2Pt,1.4519,2,1.8505,3
CrIr,0.0,0,0.0,3
C2O6YCd,0.0,2,0.0,3
Co2Dy,0.0,2,0.0,3
NCa3Cu,0.0,2,0.0,3
F8NaCu2Gd,0.8331,2,2.496,3
O6ScCu3Ba2,0.0,2,0.0,3
Na2Sr6Ru2O12,0.47897,0,2.452275,5
Ca4Cd2P4,1.308224,0,2.058244,5
S8Ti4Ni,0.0,2,0.0,3
